date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:33:05	491/491	---M--	200	added ('OK')	text/plain	date:Tue,%2011%20Dec%202018%2007:48:17%20GMT	https://www.customily.com/robots.txt		(from )
13:33:11	1467050/1467050	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:17%20GMT	https://www.customily.com/	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/index.html	(from )
13:33:11	5629/5629	---M--	200	added ('OK')	image/png	etag:%22069b5ba5bdc47f37cfac6c352bad72e2%22	https://static.wixstatic.com/media/5c292d_271d2376849e4146a9d7d6bc9bae55b3~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/5c292d_271d2376849e4146a9d7d6bc9bae55b3~mv2.png	C:/Users/Saijal%20Shakya/Desktop/subash/static.wixstatic.com/media/5c292d_271d2376849e4146a9d7d6bc9bae55b3_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/5c292d_271d2376849e4146a9d7d6bc9bae55b3_mv2.png	(from https://www.customily.com/)
13:33:12	5621/5621	---MCZ	200	added ('OK')	text/xml	date:Fri,%2012%20Oct%202018%2007:24:51	https://www.customily.com/sitemap.xml	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/sitemap.xml	(from https://www.customily.com/)
13:33:12	2863/2863	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202018%2007:48:25%20GMT	https://www.customily.com/feed.xml	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/feed.xml	(from https://www.customily.com/)
13:33:13	15219/15219	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%227dd71725c8acf80cfe0a4c45341fdf09%22	https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	C:/Users/Saijal%20Shakya/Desktop/subash/static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	(from https://www.customily.com/)
13:33:16	97202/97202	---M-Z	200	added ('OK')	application/javascript	etag:W/%224a37561f51084670d6c58908baa8460a%22	https://static.parastorage.com/services/santa/1.5702.7/app/main-r.min.js	C:/Users/Saijal%20Shakya/Desktop/subash/static.parastorage.com/services/santa/1.5702.7/app/main-r.min.js	(from https://www.customily.com/)
13:33:17	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Users/Saijal%20Shakya/Desktop/subash/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://www.customily.com/)
13:33:17	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/Users/Saijal%20Shakya/Desktop/subash/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://www.customily.com/)
13:33:28	1016610/1016610	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:30%20GMT	https://www.customily.com/blog	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/blog.html	(from https://www.customily.com/)
13:33:30	1032104/1032104	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:32%20GMT	https://www.customily.com/faq	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/faq.html	(from https://www.customily.com/)
13:33:30	1376701/1376701	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:30%20GMT	https://www.customily.com/pricing-product	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/pricing-product.html	(from https://www.customily.com/)
13:33:31	1037286/1037286	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:33%20GMT	https://www.customily.com/request-demo	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/request-demo.html	(from https://www.customily.com/)
13:33:58	1123849/1123849	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:42%20GMT	https://www.customily.com/shopify	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/shopify.html	(from https://www.customily.com/)
13:34:00	1123562/1123562	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:44%20GMT	https://www.customily.com/magento	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/magento.html	(from https://www.customily.com/)
13:34:00	1323245/1323245	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:43%20GMT	https://www.customily.com/woocommerce	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/woocommerce.html	(from https://www.customily.com/)
13:34:01	1327588/1327588	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:48:43%20GMT	https://www.customily.com/bigcommerce	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/bigcommerce.html	(from https://www.customily.com/)
13:34:05	993700/993700	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:49:14%20GMT	https://www.customily.com/tshirt-design	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/tshirt-design.html	(from https://www.customily.com/)
13:34:07	995975/995975	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:49:15%20GMT	https://www.customily.com/monogram-design	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/monogram-design.html	(from https://www.customily.com/)
13:34:08	826171/826171	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:49:18%20GMT	https://www.customily.com/working	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/working.html	(from https://www.customily.com/)
13:34:12	1196263/1196263	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:49:17%20GMT	https://www.customily.com/jewelry-design	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/jewelry-design.html	(from https://www.customily.com/)
13:34:38	882730/882730	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:49:20%20GMT	https://www.customily.com/privacy-policy	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/privacy-policy.html	(from https://www.customily.com/)
13:34:39	883750/883750	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:49:20%20GMT	https://www.customily.com/terms	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/terms.html	(from https://www.customily.com/)
13:34:39	1422925/1422925	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Dec%202018%2007:49:25%20GMT	https://www.customily.com/pricing-unlimited	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/pricing-unlimited.html	(from https://www.customily.com/pricing-product)
13:34:40	2863/2863	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202018%2007:49:52%20GMT	https://www.customily.com/5c292d_73ea8351f8aa4a6e92f6c39e3660d68bf001.jpg	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/5c292d_73ea8351f8aa4a6e92f6c39e3660d68bf001.16.delayed	(from https://www.customily.com/tshirt-design)
13:34:40	2863/2863	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202018%2007:49:52%20GMT	https://www.customily.com/5c292d_73ea8351f8aa4a6e92f6c39e3660d68bf002.jpg	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/5c292d_73ea8351f8aa4a6e92f6c39e3660d68bf002.jpg	(from https://www.customily.com/tshirt-design)
13:34:43	2863/2863	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202018%2007:49:56%20GMT	https://www.customily.com/5c292d_0bbe609ba3c6413d86d8247e110ccd54f001.jpg	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/5c292d_0bbe609ba3c6413d86d8247e110ccd54f001.jpg	(from https://www.customily.com/monogram-design)
13:34:44	2863/2863	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202018%2007:49:56%20GMT	https://www.customily.com/5c292d_0bbe609ba3c6413d86d8247e110ccd54f002.jpg	C:/Users/Saijal%20Shakya/Desktop/subash/www.customily.com/5c292d_0bbe609ba3c6413d86d8247e110ccd54f002.jpg	(from https://www.customily.com/monogram-design)
